ID,LETO,AVTOR,MESTO,DRŽAVA,TABLATURA,INSTRUMENT,STRUNE,RAZPRAVA
0,,,,,German tablature,lute,5,NE
1,1460,,Brunswick,Germany,,lute,5,NE
2,,,Königstein,Germany,German tablature,lute,5,NE
3,,,Fritzlar,Germany,keyboard tablature,lute,5,NE
4,,,,,"Neapolitan tablature, Italian tablature, French tablature","lute, guitar",6,NE
5,,,,Germany,,lute,,NE
6,,,,,Neapolitan tablature,lute,7,NE
7,,,,,,lute,6,NE
8,,,,,Italian tablature,lute,6,NE
9,1504,"Puerto, Diego del",Salamanca,Spain,,drugo,,DA
10,1505,"Dall'Aquila, Marco",Venice,Italy,Italian tablature,lute,6,NE
11,1507,"Spinacino, Francesco",Venice,Italy,Italian tablature,lute,6,NE
12,1507,"Spinacino, Francesco",Venice,Italy,Italian tablature,lute,6,NE
13,1508,"Dalza, Joan Ambrosio",Venice,Italy,Italian tablature,lute,6,NE
14,1508,Giovanni Maria Alemani,Venice,Italy,Italian tablature,lute,6,NE
15,1509,"Bossinensis, Franciscus",Venice,Italy,Italian tablature,lute,6,NE
16,1511,"Bossinensis, Franciscus",Venice,Italy,Italian tablature,lute,6,NE
17,1511,"Virdung, Sebastian",Basel,Switzerland,German tablature,lute,6,DA
18,1512,"Schlick, Arnolt",Mainz,Germany,German tablature,lute,6,DA
19,,"Falk, Peter",,,Italian tablature,lute,6,NE
20,1515,"Bossinensis, Franciscus",Venice,Italy,Italian tablature,lute,6,NE
21,,,,,Italian tablature,lute,6,NE
22,,"Thurner, Jakob",,,German tablature,lute,6,NE
23,,"Virdung, Sebastian",,,German tablature,lute,6,DA
24,1520,,,,Italian tablature,drugo,6,NE
25,1520,,,London,Italian tablature,lute,6,NE
26,1520,,,,Italian tablature,lute,6,NE
27,1520,,,,German tablature,lute,6,NE
28,1522,"Amerbach, Bonifacius",Avignon,France,French tablature,lute,6,NE
29,1523,"Judenkünig, Hans",Vienna,Austria,German tablature,lute,6,NE
30,1523,"Judenkünig, Hans",Vienna,Austria,German tablature,lute,6,NE
31,,"Wiltzell, Jorg",,,German tablature,lute,6,NE
32,,,,,,drugo,,NE
33,,"Blindhamer, Adolf",,,German tablature,lute,6,NE
34,,"Craus, Stephan",,,German tablature,lute,6,NE
35,1529,"Agricola, Martin",Wittenberg,Germany,keyboard tablature,lute,6,DA
36,1529,"Attaingnant, Pierre",Paris,France,French tablature,lute,6,NE
37,1529,"Vorsterman, Guillaume",Antwerp,Belgium,French tablature,lute,6,DA
38,,,,,Italian tablature,lute,6,NE
39,,"Tromboncino, Bartolomeo",Rome,Italy,Italian tablature,lute,6,NE
40,1530,"Agricola, Martin",Wittenberg,Germany,keyboard tablature,lute,6,DA
41,1530,"Attaingnant, Pierre",Paris,France,French tablature,lute,6,NE
42,1530,"Finé, Oronce",Paris,France,,lute,6,DA
43,,Francesco da Milano,,,Italian tablature,lute,6,NE
44,,,,,German tablature,lute,6,NE
45,1530,,,,German tablature,lute,6,NE
46,1532,"Agricola, Martin",,,keyboard tablature,lute,6,DA
47,1532,"Gerle, Hans",Nuremberg,Germany,German tablature,lute,6,NE
48,1533,"Gerle, Hans",Nuremberg,Germany,German tablature,lute,6,NE
49,,,,,German tablature,lute,6,NE
50,1536,"Casteliono, Giovanni Antonio",Milan,Italy,Italian tablature,lute,6,NE
51,1536,Francesco da Milano,Venice,Italy,Italian tablature,lute,6,NE
52,1536,Francesco da Milano,Naples,Italy,Italian tablature,lute,6,NE
53,1536,Francesco da Milano,Naples,Italy,Neapolitan tablature,lute,6,NE
54,1536,"Luscinius, Ottomar",Strasbourg,France,German tablature,lute,6,DA
55,1536,"Milán, Luis",Valencia,Spain,Italian tablature,drugo,6,NE
56,1536,"Neusidler, Hans",Nuremberg,Germany,German tablature,lute,6,NE
57,1536,"Neusidler, Hans",Nuremberg,Germany,German tablature,lute,6,NE
58,1536,"Verdelot, Philippe",Venice,Italy,Italian tablature,lute,6,NE
59,,"Herwart, Johann Heinrich",,,Italian tablature,lute,6,NE
60,1536,,,,French tablature,lute,6,NE
61,,,,,German tablature,lute,6,NE
62,1537,"Gerle, Hans",Nuremberg,Germany,German tablature,lute,6,NE
63,,"Alcetur, John",,,French tablature,lute,6,NE
64,1538,"Narváez, Luis de",Valladolid,Spain,Italian tablature,drugo,6,NE
65,,,Vienna,Austria,Italian tablature,lute,6,NE
66,,,,,German tablature,lute,6,NE
67,1540,"Neusidler, Hans",Nuremberg,Germany,German tablature,lute,6,NE
68,1540,,Venice,Italy,Italian tablature,lute,6,NE
69,1540,"Verdelot, Philippe",Venice,Italy,Italian tablature,lute,6,NE
70,1540,,,,Italian tablature,lute,6,NE
71,1540,,,,German tablature,lute,6,NE
72,,,,,Italian tablature,lute,6,NE
73,1542,"Agricola, Martin",Wittenberg,Germany,keyboard tablature,lute,6,DA
74,1542,"Luscinius, Ottomar",Strasbourg,France,German tablature,lute,6,DA
75,1543,"Agricola, Martin",Magdeburg,Germany,keyboard tablature,lute,6,DA
76,1543,"Ganassi dal Fontego, Sylvestro di",Venice,Italy,Italian tablature,lute,6,DA
77,1544,"Neusidler, Hans",Nuremberg,Germany,German tablature,lute,6,NE
78,1544,"Neusidler, Hans",Nuremberg,Germany,German tablature,lute,6,NE
79,1544,"Neusidler, Hans",Nuremberg,Germany,German tablature,lute,6,NE
80,,,,,German tablature,lute,6,NE
81,1545,"Agricola, Martin",Wittenberg,Germany,"German tablature, keyboard tablature",lute,6,DA
82,1545,"Phalèse, Pierre",Louvain,Belgium,French tablature,lute,6,NE
83,1545,,,,French tablature,lute,6,NE
84,,,,England,French tablature,drugo,"5, 4",NE
85,1546,"Abondante, Giulio",Venice,Italy,Italian tablature,lute,6,NE
86,1546,"Barberiis, Melchiore de",Venice,Italy,Italian tablature,lute,6,NE
87,1546,"Barberiis, Melchiore de",Venice,Italy,Italian tablature,lute,6,NE
88,1546,"Barberiis, Melchiore de",Venice,Italy,Italian tablature,lute,6,NE
89,1546,"Bianchini, Dominico",Venice,Italy,Italian tablature,lute,6,NE
90,1546,Francesco da Milano,Venice,Italy,Italian tablature,lute,6,NE
